source,target,fen
F1,G1,1r1r2n1/pPkbb2p/6p1/2p2p2/2pQ2pP/8/P2NP1B1/RNB2K1R w - - 0 24
D7,C8,1r1r2n1/pPkbb2p/6p1/2p2p2/2pQ2pP/8/P2NP1B1/RNB3KR b - - 1 24
D4,G7,1rbr2n1/pPk1b2p/6p1/2p2p2/2pQ2pP/8/P2NP1B1/RNB3KR w - - 2 25
G8,H6,1rbr2n1/pPk1b1Qp/6p1/2p2p2/2p3pP/8/P2NP1B1/RNB3KR b - - 3 25
G1,H2,1rbr4/pPk1b1Qp/6pn/2p2p2/2p3pP/8/P2NP1B1/RNB3KR w - - 4 26
G4,G3,1rbr4/pPk1b1Qp/6pn/2p2p2/2p3pP/8/P2NP1BK/RNB4R b - - 5 26
H2,H3,1rbr4/pPk1b1Qp/6pn/2p2p2/2p4P/6p1/P2NP1BK/RNB4R w - - 0 27
D8,D3,1rbr4/pPk1b1Qp/6pn/2p2p2/2p4P/6pK/P2NP1B1/RNB4R b - - 1 27
C1,A3,1rb5/pPk1b1Qp/6pn/2p2p2/2p4P/3r2pK/P2NP1B1/RNB4R w - - 2 28
D3,D5,1rb5/pPk1b1Qp/6pn/2p2p2/2p4P/B2r2pK/P2NP1B1/RN5R b - - 3 28
H3,G3,1rb5/pPk1b1Qp/6pn/2pr1p2/2p4P/B5pK/P2NP1B1/RN5R w - - 4 29
D5,D6,1rb5/pPk1b1Qp/6pn/2pr1p2/2p4P/B5K1/P2NP1B1/RN5R b - - 0 29
E2,E4,1rb5/pPk1b1Qp/3r2pn/2p2p2/2p4P/B5K1/P2NP1B1/RN5R w - - 1 30
C4,C3,1rb5/pPk1b1Qp/3r2pn/2p2p2/2p1P2P/B5K1/P2N2B1/RN5R b - e3 0 30
A3,B2,1rb5/pPk1b1Qp/3r2pn/2p2p2/4P2P/B1p3K1/P2N2B1/RN5R w - - 0 31
C8,D7,1rb5/pPk1b1Qp/3r2pn/2p2p2/4P2P/2p3K1/PB1N2B1/RN5R b - - 1 31
G3,F4,1r6/pPkbb1Qp/3r2pn/2p2p2/4P2P/2p3K1/PB1N2B1/RN5R w - - 2 32
D6,D3,1r6/pPkbb1Qp/3r2pn/2p2p2/4PK1P/2p5/PB1N2B1/RN5R b - - 3 32
F4,E5,1r6/pPkbb1Qp/6pn/2p2p2/4PK1P/2pr4/PB1N2B1/RN5R w - - 4 33
E7,H4,1r6/pPkbb1Qp/6pn/2p1Kp2/4P2P/2pr4/PB1N2B1/RN5R b - - 5 33
B2,A3,1r6/pPkb2Qp/6pn/2p1Kp2/4P2b/2pr4/PB1N2B1/RN5R w - - 0 34
D3,E3,1r6/pPkb2Qp/6pn/2p1Kp2/4P2b/B1pr4/P2N2B1/RN5R b - - 1 34
H1,H3,1r6/pPkb2Qp/6pn/2p1Kp2/4P2b/B1p1r3/P2N2B1/RN5R w - - 2 35
H4,G5,1r6/pPkb2Qp/6pn/2p1Kp2/4P2b/B1p1r2R/P2N2B1/RN6 b - - 3 35
E5,D5,1r6/pPkb2Qp/6pn/2p1Kpb1/4P3/B1p1r2R/P2N2B1/RN6 w - - 4 36
C5,C4,1r6/pPkb2Qp/6pn/2pK1pb1/4P3/B1p1r2R/P2N2B1/RN6 b - - 5 36
A3,B2,1r6/pPkb2Qp/6pn/3K1pb1/2p1P3/B1p1r2R/P2N2B1/RN6 w - - 0 37
F5,E4,1r6/pPkb2Qp/6pn/3K1pb1/2p1P3/2p1r2R/PB1N2B1/RN6 b - - 1 37
G7,C3,1r6/pPkb2Qp/6pn/3K2b1/2p1p3/2p1r2R/PB1N2B1/RN6 w - - 0 38
G5,D8,1r6/pPkb3p/6pn/3K2b1/2p1p3/2Q1r2R/PB1N2B1/RN6 b - - 0 38
C3,D4,1r1b4/pPkb3p/6pn/3K4/2p1p3/2Q1r2R/PB1N2B1/RN6 w - - 1 39
H6,G8,1r1b4/pPkb3p/6pn/3K4/2pQp3/4r2R/PB1N2B1/RN6 b - - 2 39
B2,A3,1r1b2n1/pPkb3p/6p1/3K4/2pQp3/4r2R/PB1N2B1/RN6 w - - 3 40
G8,F6,1r1b2n1/pPkb3p/6p1/3K4/2pQp3/B3r2R/P2N2B1/RN6 b - - 4 40
D5,C5,1r1b4/pPkb3p/5np1/3K4/2pQp3/B3r2R/P2N2B1/RN6 w - - 5 41
F6,G8,1r1b4/pPkb3p/5np1/2K5/2pQp3/B3r2R/P2N2B1/RN6 b - - 6 41
H3,H1,1r1b2n1/pPkb3p/6p1/2K5/2pQp3/B3r2R/P2N2B1/RN6 w - - 7 42
C4,C3,1r1b2n1/pPkb3p/6p1/2K5/2pQp3/B3r3/P2N2B1/RN5R b - - 8 42
B1,C3,1r1b2n1/pPkb3p/6p1/2K5/3Qp3/B1p1r3/P2N2B1/RN5R w - - 0 43
E3,D3,1r1b2n1/pPkb3p/6p1/2K5/3Qp3/B1N1r3/P2N2B1/R6R b - - 0 43
G2,H3,1r1b2n1/pPkb3p/6p1/2K5/3Qp3/B1Nr4/P2N2B1/R6R w - - 1 44
G6,G5,1r1b2n1/pPkb3p/6p1/2K5/3Qp3/B1Nr3B/P2N4/R6R b - - 2 44
D4,E5,1r1b2n1/pPkb3p/8/2K3p1/3Qp3/B1Nr3B/P2N4/R6R w - - 0 45
D3,D6,1r1b2n1/pPkb3p/8/2K1Q1p1/4p3/B1Nr3B/P2N4/R6R b - - 1 45
A1,F1,1r1b2n1/pPkb3p/3r4/2K1Q1p1/4p3/B1N4B/P2N4/R6R w - - 2 46
E4,E3,1r1b2n1/pPkb3p/3r4/2K1Q1p1/4p3/B1N4B/P2N4/5R1R b - - 3 46
H3,G4,1r1b2n1/pPkb3p/3r4/2K1Q1p1/8/B1N1p2B/P2N4/5R1R w - - 0 47
C7,B7,1r1b2n1/pPkb3p/3r4/2K1Q1p1/6B1/B1N1p3/P2N4/5R1R b - - 1 47
D2,B3,1r1b2n1/pk1b3p/3r4/2K1Q1p1/6B1/B1N1p3/P2N4/5R1R w - - 0 48
D6,B6,1r1b2n1/pk1b3p/3r4/2K1Q1p1/6B1/BNN1p3/P7/5R1R b - - 1 48
C5,D5,1r1b2n1/pk1b3p/1r6/2K1Q1p1/6B1/BNN1p3/P7/5R1R w - - 2 49
E3,E2,1r1b2n1/pk1b3p/1r6/3KQ1p1/6B1/BNN1p3/P7/5R1R b - - 3 49
F1,F6,1r1b2n1/pk1b3p/1r6/3KQ1p1/6B1/BNN5/P3p3/5R1R w - - 0 50
D7,E6,1r1b2n1/pk1b3p/1r3R2/3KQ1p1/6B1/BNN5/P3p3/7R b - - 1 50
E5,E6,1r1b2n1/pk5p/1r2bR2/3KQ1p1/6B1/BNN5/P3p3/7R w - - 2 51
