source,target,fen
C4,B3,r1b1kbnr/pp1p4/nq1QPp2/4P1p1/1Pp2B1p/2N2PNP/P1P1K1P1/R4B1R b - b3 0 14
C2,B3,r1b1kbnr/pp1p4/nq1QPp2/4P1p1/5B1p/1pN2PNP/P1P1K1P1/R4B1R w - - 0 15
G5,G4,r1b1kbnr/pp1p4/nq1QPp2/4P1p1/5B1p/1PN2PNP/P3K1P1/R4B1R b - - 0 15
D6,D4,r1b1kbnr/pp1p4/nq1QPp2/4P3/5Bpp/1PN2PNP/P3K1P1/R4B1R w - - 0 16
F8,H6,r1b1kbnr/pp1p4/nq2Pp2/4P3/3Q1Bpp/1PN2PNP/P3K1P1/R4B1R b - - 1 16
H1,G1,r1b1k1nr/pp1p4/nq2Pp1b/4P3/3Q1Bpp/1PN2PNP/P3K1P1/R4B1R w - - 2 17
H6,G7,r1b1k1nr/pp1p4/nq2Pp1b/4P3/3Q1Bpp/1PN2PNP/P3K1P1/R4BR1 b - - 3 17
E2,D1,r1b1k1nr/pp1p2b1/nq2Pp2/4P3/3Q1Bpp/1PN2PNP/P3K1P1/R4BR1 w - - 4 18
A6,C7,r1b1k1nr/pp1p2b1/nq2Pp2/4P3/3Q1Bpp/1PN2PNP/P5P1/R2K1BR1 b - - 5 18
B3,B4,r1b1k1nr/ppnp2b1/1q2Pp2/4P3/3Q1Bpp/1PN2PNP/P5P1/R2K1BR1 w - - 6 19
B6,C5,r1b1k1nr/ppnp2b1/1q2Pp2/4P3/1P1Q1Bpp/2N2PNP/P5P1/R2K1BR1 b - - 0 19
E6,E7,r1b1k1nr/ppnp2b1/4Pp2/2q1P3/1P1Q1Bpp/2N2PNP/P5P1/R2K1BR1 w - - 1 20
C7,E6,r1b1k1nr/ppnpP1b1/5p2/2q1P3/1P1Q1Bpp/2N2PNP/P5P1/R2K1BR1 b - - 0 20
A2,A3,r1b1k1nr/pp1pP1b1/4np2/2q1P3/1P1Q1Bpp/2N2PNP/P5P1/R2K1BR1 w - - 1 21
B7,B5,r1b1k1nr/pp1pP1b1/4np2/2q1P3/1P1Q1Bpp/P1N2PNP/6P1/R2K1BR1 b - - 0 21
H3,G4,r1b1k1nr/p2pP1b1/4np2/1pq1P3/1P1Q1Bpp/P1N2PNP/6P1/R2K1BR1 w - b6 0 22
G8,H6,r1b1k1nr/p2pP1b1/4np2/1pq1P3/1P1Q1BPp/P1N2PN1/6P1/R2K1BR1 b - - 0 22
G3,E2,r1b1k2r/p2pP1b1/4np1n/1pq1P3/1P1Q1BPp/P1N2PN1/6P1/R2K1BR1 w - - 1 23
H4,H3,r1b1k2r/p2pP1b1/4np1n/1pq1P3/1P1Q1BPp/P1N2P2/4N1P1/R2K1BR1 b - - 2 23
D4,D7,r1b1k2r/p2pP1b1/4np1n/1pq1P3/1P1Q1BP1/P1N2P1p/4N1P1/R2K1BR1 w - - 0 24
E8,D7,r1b1k2r/p2QP1b1/4np1n/1pq1P3/1P3BP1/P1N2P1p/4N1P1/R2K1BR1 b - - 0 24
B4,C5,r1b4r/p2kP1b1/4np1n/1pq1P3/1P3BP1/P1N2P1p/4N1P1/R2K1BR1 w - - 0 25
A7,A6,r1b4r/p2kP1b1/4np1n/1pP1P3/5BP1/P1N2P1p/4N1P1/R2K1BR1 b - - 0 25
E2,D4,r1b4r/3kP1b1/p3np1n/1pP1P3/5BP1/P1N2P1p/4N1P1/R2K1BR1 w - - 0 26
F6,F5,r1b4r/3kP1b1/p3np1n/1pP1P3/3N1BP1/P1N2P1p/6P1/R2K1BR1 b - - 1 26
D1,E1,r1b4r/3kP1b1/p3n2n/1pP1Pp2/3N1BP1/P1N2P1p/6P1/R2K1BR1 w - - 0 27
B5,B4,r1b4r/3kP1b1/p3n2n/1pP1Pp2/3N1BP1/P1N2P1p/6P1/R3KBR1 b - - 1 27
A1,A2,r1b4r/3kP1b1/p3n2n/2P1Pp2/1p1N1BP1/P1N2P1p/6P1/R3KBR1 w - - 0 28
G7,F6,r1b4r/3kP1b1/p3n2n/2P1Pp2/1p1N1BP1/P1N2P1p/R5P1/4KBR1 b - - 1 28
F4,G3,r1b4r/3kP3/p3nb1n/2P1Pp2/1p1N1BP1/P1N2P1p/R5P1/4KBR1 w - - 2 29
B4,B3,r1b4r/3kP3/p3nb1n/2P1Pp2/1p1N2P1/P1N2PBp/R5P1/4KBR1 b - - 3 29
G4,F5,r1b4r/3kP3/p3nb1n/2P1Pp2/3N2P1/PpN2PBp/R5P1/4KBR1 w - - 0 30
D7,E8,r1b4r/3kP3/p3nb1n/2P1PP2/3N4/PpN2PBp/R5P1/4KBR1 b - - 0 30
G1,H1,r1b1k2r/4P3/p3nb1n/2P1PP2/3N4/PpN2PBp/R5P1/4KBR1 w - - 1 31
E8,E7,r1b1k2r/4P3/p3nb1n/2P1PP2/3N4/PpN2PBp/R5P1/4KB1R b - - 2 31
F3,F4,r1b4r/4k3/p3nb1n/2P1PP2/3N4/PpN2PBp/R5P1/4KB1R w - - 0 32
H6,G8,r1b4r/4k3/p3nb1n/2P1PP2/3N1P2/PpN3Bp/R5P1/4KB1R b - - 0 32
E1,F2,r1b3nr/4k3/p3nb2/2P1PP2/3N1P2/PpN3Bp/R5P1/4KB1R w - - 1 33
E6,C7,r1b3nr/4k3/p3nb2/2P1PP2/3N1P2/PpN3Bp/R4KP1/5B1R b - - 2 33
C3,D5,r1b3nr/2n1k3/p4b2/2P1PP2/3N1P2/PpN3Bp/R4KP1/5B1R w - - 3 34
E7,D8,r1b3nr/2n1k3/p4b2/2PNPP2/3N1P2/Pp4Bp/R4KP1/5B1R b - - 4 34
D5,E7,r1bk2nr/2n5/p4b2/2PNPP2/3N1P2/Pp4Bp/R4KP1/5B1R w - - 5 35
A8,A7,r1bk2nr/2n1N3/p4b2/2P1PP2/3N1P2/Pp4Bp/R4KP1/5B1R b - - 6 35
C5,C6,2bk2nr/r1n1N3/p4b2/2P1PP2/3N1P2/Pp4Bp/R4KP1/5B1R w - - 7 36
H8,H7,2bk2nr/r1n1N3/p1P2b2/4PP2/3N1P2/Pp4Bp/R4KP1/5B1R b - - 0 36
D4,E6,2bk2n1/r1n1N2r/p1P2b2/4PP2/3N1P2/Pp4Bp/R4KP1/5B1R w - - 1 37
D8,E7,2bk2n1/r1n1N2r/p1P1Nb2/4PP2/5P2/Pp4Bp/R4KP1/5B1R b - - 2 37
A2,B2,2b3n1/r1n1k2r/p1P1Nb2/4PP2/5P2/Pp4Bp/R4KP1/5B1R w - - 0 38
A7,A8,2b3n1/r1n1k2r/p1P1Nb2/4PP2/5P2/Pp4Bp/1R3KP1/5B1R b - - 1 38
G3,H4,r1b3n1/2n1k2r/p1P1Nb2/4PP2/5P2/Pp4Bp/1R3KP1/5B1R w - - 2 39
C7,D5,r1b3n1/2n1k2r/p1P1Nb2/4PP2/5P1B/Pp5p/1R3KP1/5B1R b - - 3 39
A3,A4,r1b3n1/4k2r/p1P1Nb2/3nPP2/5P1B/Pp5p/1R3KP1/5B1R w - - 4 40
H7,H5,r1b3n1/4k2r/p1P1Nb2/3nPP2/P4P1B/1p5p/1R3KP1/5B1R b - - 0 40
A4,A5,r1b3n1/4k3/p1P1Nb2/3nPP1r/P4P1B/1p5p/1R3KP1/5B1R w - - 1 41
E7,E8,r1b3n1/4k3/p1P1Nb2/P2nPP1r/5P1B/1p5p/1R3KP1/5B1R b - - 0 41
E6,D4,r1b1k1n1/8/p1P1Nb2/P2nPP1r/5P1B/1p5p/1R3KP1/5B1R w - - 1 42
G8,H6,r1b1k1n1/8/p1P2b2/P2nPP1r/3N1P1B/1p5p/1R3KP1/5B1R b - - 2 42
B2,E2,r1b1k3/8/p1P2b1n/P2nPP1r/3N1P1B/1p5p/1R3KP1/5B1R w - - 3 43
H5,H4,r1b1k3/8/p1P2b1n/P2nPP1r/3N1P1B/1p5p/4RKP1/5B1R b - - 4 43
F2,E1,r1b1k3/8/p1P2b1n/P2nPP2/3N1P1r/1p5p/4RKP1/5B1R w - - 0 44
E8,F7,r1b1k3/8/p1P2b1n/P2nPP2/3N1P1r/1p5p/4R1P1/4KB1R b - - 1 44
G2,G3,r1b5/5k2/p1P2b1n/P2nPP2/3N1P1r/1p5p/4R1P1/4KB1R w - - 2 45
H3,H2,r1b5/5k2/p1P2b1n/P2nPP2/3N1P1r/1p4Pp/4R3/4KB1R b - - 0 45
E2,E3,r1b5/5k2/p1P2b1n/P2nPP2/3N1P1r/1p4P1/4R2p/4KB1R w - - 0 46
F6,E7,r1b5/5k2/p1P2b1n/P2nPP2/3N1P1r/1p2R1P1/7p/4KB1R b - - 1 46
C6,C7,r1b5/4bk2/p1P4n/P2nPP2/3N1P1r/1p2R1P1/7p/4KB1R w - - 2 47
E7,F6,r1b5/2P1bk2/p6n/P2nPP2/3N1P1r/1p2R1P1/7p/4KB1R b - - 0 47
E3,F3,r1b5/2P2k2/p4b1n/P2nPP2/3N1P1r/1p2R1P1/7p/4KB1R w - - 1 48
C8,E6,r1b5/2P2k2/p4b1n/P2nPP2/3N1P1r/1p3RP1/7p/4KB1R b - - 2 48
F1,G2,r7/2P2k2/p3bb1n/P2nPP2/3N1P1r/1p3RP1/7p/4KB1R w - - 3 49
F6,E7,r7/2P2k2/p3bb1n/P2nPP2/3N1P1r/1p3RP1/6Bp/4K2R b - - 4 49
F3,F2,r7/2P1bk2/p3b2n/P2nPP2/3N1P1r/1p3RP1/6Bp/4K2R w - - 5 50
F7,G8,r7/2P1bk2/p3b2n/P2nPP2/3N1P1r/1p4P1/5RBp/4K2R b - - 6 50
E1,D1,r5k1/2P1b3/p3b2n/P2nPP2/3N1P1r/1p4P1/5RBp/4K2R w - - 7 51
H4,H5,r5k1/2P1b3/p3b2n/P2nPP2/3N1P1r/1p4P1/5RBp/3K3R b - - 8 51
H1,F1,r5k1/2P1b3/p3b2n/P2nPP1r/3N1P2/1p4P1/5RBp/3K3R w - - 9 52
E6,F7,r5k1/2P1b3/p3b2n/P2nPP1r/3N1P2/1p4P1/5RBp/3K1R2 b - - 10 52
D1,E1,r5k1/2P1bb2/p6n/P2nPP1r/3N1P2/1p4P1/5RBp/3K1R2 w - - 11 53
G8,G7,r5k1/2P1bb2/p6n/P2nPP1r/3N1P2/1p4P1/5RBp/4KR2 b - - 12 53
E1,D1,r7/2P1bbk1/p6n/P2nPP1r/3N1P2/1p4P1/5RBp/4KR2 w - - 13 54
E7,H4,r7/2P1bbk1/p6n/P2nPP1r/3N1P2/1p4P1/5RBp/3K1R2 b - - 14 54
G3,H4,r7/2P2bk1/p6n/P2nPP1r/3N1P1b/1p4P1/5RBp/3K1R2 w - - 15 55
G7,G8,r7/2P2bk1/p6n/P2nPP1r/3N1P1P/1p6/5RBp/3K1R2 b - - 0 55
F2,F3,r5k1/2P2b2/p6n/P2nPP1r/3N1P1P/1p6/5RBp/3K1R2 w - - 1 56
H6,G4,r5k1/2P2b2/p6n/P2nPP1r/3N1P1P/1p3R2/6Bp/3K1R2 b - - 2 56
F3,H3,r5k1/2P2b2/p7/P2nPP1r/3N1PnP/1p3R2/6Bp/3K1R2 w - - 3 57
G8,H7,r5k1/2P2b2/p7/P2nPP1r/3N1PnP/1p5R/6Bp/3K1R2 b - - 4 57
F5,F6,r7/2P2b1k/p7/P2nPP1r/3N1PnP/1p5R/6Bp/3K1R2 w - - 5 58
G4,F2,r7/2P2b1k/p4P2/P2nP2r/3N1PnP/1p5R/6Bp/3K1R2 b - - 0 58
F1,F2,r7/2P2b1k/p4P2/P2nP2r/3N1P1P/1p5R/5nBp/3K1R2 w - - 1 59
A8,G8,r7/2P2b1k/p4P2/P2nP2r/3N1P1P/1p5R/5RBp/3K4 b - - 0 59
