source,target,fen
H2,H3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
C7,C5,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq - 0 1
D2,D4,rnbqkbnr/pp1ppppp/8/2p5/8/7P/PPPPPPP1/RNBQKBNR w KQkq c6 0 2
D8,A5,rnbqkbnr/pp1ppppp/8/2p5/3P4/7P/PPP1PPP1/RNBQKBNR b KQkq d3 0 2
B1,C3,rnb1kbnr/pp1ppppp/8/q1p5/3P4/7P/PPP1PPP1/RNBQKBNR w KQkq - 1 3
E8,D8,rnb1kbnr/pp1ppppp/8/q1p5/3P4/2N4P/PPP1PPP1/R1BQKBNR b KQkq - 2 3
E2,E4,rnbk1bnr/pp1ppppp/8/q1p5/3P4/2N4P/PPP1PPP1/R1BQKBNR w KQ - 3 4
E7,E6,rnbk1bnr/pp1ppppp/8/q1p5/3PP3/2N4P/PPP2PP1/R1BQKBNR b KQ e3 0 4
F2,F3,rnbk1bnr/pp1p1ppp/4p3/q1p5/3PP3/2N4P/PPP2PP1/R1BQKBNR w KQ - 0 5
D8,E7,rnbk1bnr/pp1p1ppp/4p3/q1p5/3PP3/2N2P1P/PPP3P1/R1BQKBNR b KQ - 0 5
C1,F4,rnb2bnr/pp1pkppp/4p3/q1p5/3PP3/2N2P1P/PPP3P1/R1BQKBNR w KQ - 1 6
H7,H5,rnb2bnr/pp1pkppp/4p3/q1p5/3PPB2/2N2P1P/PPP3P1/R2QKBNR b KQ - 2 6
G1,E2,rnb2bnr/pp1pkpp1/4p3/q1p4p/3PPB2/2N2P1P/PPP3P1/R2QKBNR w KQ h6 0 7
G7,G5,rnb2bnr/pp1pkpp1/4p3/q1p4p/3PPB2/2N2P1P/PPP1N1P1/R2QKB1R b KQ - 1 7
E2,G3,rnb2bnr/pp1pkp2/4p3/q1p3pp/3PPB2/2N2P1P/PPP1N1P1/R2QKB1R w KQ g6 0 8
F7,F6,rnb2bnr/pp1pkp2/4p3/q1p3pp/3PPB2/2N2PNP/PPP3P1/R2QKB1R b KQ - 1 8
E4,E5,rnb2bnr/pp1pk3/4pp2/q1p3pp/3PPB2/2N2PNP/PPP3P1/R2QKB1R w KQ - 0 9
B8,A6,rnb2bnr/pp1pk3/4pp2/q1p1P1pp/3P1B2/2N2PNP/PPP3P1/R2QKB1R b KQ - 0 9
D4,D5,r1b2bnr/pp1pk3/n3pp2/q1p1P1pp/3P1B2/2N2PNP/PPP3P1/R2QKB1R w KQ - 1 10
H5,H4,r1b2bnr/pp1pk3/n3pp2/q1pPP1pp/5B2/2N2PNP/PPP3P1/R2QKB1R b KQ - 0 10
D5,E6,r1b2bnr/pp1pk3/n3pp2/q1pPP1p1/5B1p/2N2PNP/PPP3P1/R2QKB1R w KQ - 0 11
C5,C4,r1b2bnr/pp1pk3/n3Pp2/q1p1P1p1/5B1p/2N2PNP/PPP3P1/R2QKB1R b KQ - 0 11
D1,D6,r1b2bnr/pp1pk3/n3Pp2/q3P1p1/2p2B1p/2N2PNP/PPP3P1/R2QKB1R w KQ - 0 12
E7,E8,r1b2bnr/pp1pk3/n2QPp2/q3P1p1/2p2B1p/2N2PNP/PPP3P1/R3KB1R b KQ - 1 12
E1,E2,r1b1kbnr/pp1p4/n2QPp2/q3P1p1/2p2B1p/2N2PNP/PPP3P1/R3KB1R w KQ - 2 13
A5,B6,r1b1kbnr/pp1p4/n2QPp2/q3P1p1/2p2B1p/2N2PNP/PPP1K1P1/R4B1R b - - 3 13
B2,B4,r1b1kbnr/pp1p4/nq1QPp2/4P1p1/2p2B1p/2N2PNP/PPP1K1P1/R4B1R w - - 4 14
