source,target,fen
G1,H3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
B8,A6,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 1
E2,E4,r1bqkbnr/pppppppp/n7/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 2 2
G8,H6,r1bqkbnr/pppppppp/n7/8/4P3/7N/PPPP1PPP/RNBQKB1R b KQkq e3 0 2
D1,H5,r1bqkb1r/pppppppp/n6n/8/4P3/7N/PPPP1PPP/RNBQKB1R w KQkq - 1 3
A6,B4,r1bqkb1r/pppppppp/n6n/7Q/4P3/7N/PPPP1PPP/RNB1KB1R b KQkq - 2 3
H3,G5,r1bqkb1r/pppppppp/7n/7Q/1n2P3/7N/PPPP1PPP/RNB1KB1R w KQkq - 3 4
B7,B5,r1bqkb1r/pppppppp/7n/6NQ/1n2P3/8/PPPP1PPP/RNB1KB1R b KQkq - 4 4
E4,E5,r1bqkb1r/p1pppppp/7n/1p4NQ/1n2P3/8/PPPP1PPP/RNB1KB1R w KQkq b6 0 5
C8,A6,r1bqkb1r/p1pppppp/7n/1p2P1NQ/1n6/8/PPPP1PPP/RNB1KB1R b KQkq - 0 5
E1,E2,r2qkb1r/p1pppppp/b6n/1p2P1NQ/1n6/8/PPPP1PPP/RNB1KB1R w KQkq - 1 6
H6,G4,r2qkb1r/p1pppppp/b6n/1p2P1NQ/1n6/8/PPPPKPPP/RNB2B1R b kq - 2 6
H5,G4,r2qkb1r/p1pppppp/b7/1p2P1NQ/1n4n1/8/PPPPKPPP/RNB2B1R w kq - 3 7
D8,C8,r2qkb1r/p1pppppp/b7/1p2P1N1/1n4Q1/8/PPPPKPPP/RNB2B1R b kq - 0 7
E2,D1,r1q1kb1r/p1pppppp/b7/1p2P1N1/1n4Q1/8/PPPPKPPP/RNB2B1R w kq - 1 8
H8,G8,r1q1kb1r/p1pppppp/b7/1p2P1N1/1n4Q1/8/PPPP1PPP/RNBK1B1R b kq - 2 8
C2,C3,r1q1kbr1/p1pppppp/b7/1p2P1N1/1n4Q1/8/PPPP1PPP/RNBK1B1R w q - 3 9
B4,D5,r1q1kbr1/p1pppppp/b7/1p2P1N1/1n4Q1/2P5/PP1P1PPP/RNBK1B1R b q - 0 9
F2,F3,r1q1kbr1/p1pppppp/b7/1p1nP1N1/6Q1/2P5/PP1P1PPP/RNBK1B1R w q - 1 10
D7,D6,r1q1kbr1/p1pppppp/b7/1p1nP1N1/6Q1/2P2P2/PP1P2PP/RNBK1B1R b q - 0 10
