source,target,fen
B2,B4,r1q1kbr1/p1p1pppp/b2p4/1p1nP1N1/6Q1/2P2P2/PP1P2PP/RNBK1B1R w q - 0 11
E8,D8,r1q1kbr1/p1p1pppp/b2p4/1p1nP1N1/1P4Q1/2P2P2/P2P2PP/RNBK1B1R b q b3 0 11
C3,C4,r1qk1br1/p1p1pppp/b2p4/1p1nP1N1/1P4Q1/2P2P2/P2P2PP/RNBK1B1R w - - 1 12
B5,C4,r1qk1br1/p1p1pppp/b2p4/1p1nP1N1/1PP3Q1/5P2/P2P2PP/RNBK1B1R b - - 0 12
H2,H4,r1qk1br1/p1p1pppp/b2p4/3nP1N1/1Pp3Q1/5P2/P2P2PP/RNBK1B1R w - - 0 13
C8,G4,r1qk1br1/p1p1pppp/b2p4/3nP1N1/1Pp3QP/5P2/P2P2P1/RNBK1B1R b - h3 0 13
G5,E6,r2k1br1/p1p1pppp/b2p4/3nP1N1/1Pp3qP/5P2/P2P2P1/RNBK1B1R w - - 0 14
G4,E6,r2k1br1/p1p1pppp/b2pN3/3nP3/1Pp3qP/5P2/P2P2P1/RNBK1B1R b - - 1 14
H4,H5,r2k1br1/p1p1pppp/b2pq3/3nP3/1Pp4P/5P2/P2P2P1/RNBK1B1R w - - 0 15
C7,C5,r2k1br1/p1p1pppp/b2pq3/3nP2P/1Pp5/5P2/P2P2P1/RNBK1B1R b - - 0 15
E5,D6,r2k1br1/p3pppp/b2pq3/2pnP2P/1Pp5/5P2/P2P2P1/RNBK1B1R w - c6 0 16
E7,D6,r2k1br1/p3pppp/b2Pq3/2pn3P/1Pp5/5P2/P2P2P1/RNBK1B1R b - - 0 16
B4,B5,r2k1br1/p4ppp/b2pq3/2pn3P/1Pp5/5P2/P2P2P1/RNBK1B1R w - - 0 17
E6,E8,r2k1br1/p4ppp/b2pq3/1Ppn3P/2p5/5P2/P2P2P1/RNBK1B1R b - - 0 17
H5,H6,r2kqbr1/p4ppp/b2p4/1Ppn3P/2p5/5P2/P2P2P1/RNBK1B1R w - - 1 18
A6,B5,r2kqbr1/p4ppp/b2p3P/1Ppn4/2p5/5P2/P2P2P1/RNBK1B1R b - - 0 18
D1,C2,r2kqbr1/p4ppp/3p3P/1bpn4/2p5/5P2/P2P2P1/RNBK1B1R w - - 0 19
D5,B4,r2kqbr1/p4ppp/3p3P/1bpn4/2p5/5P2/P1KP2P1/RNB2B1R b - - 1 19
C2,B2,r2kqbr1/p4ppp/3p3P/1bp5/1np5/5P2/P1KP2P1/RNB2B1R w - - 2 20
B4,D3,r2kqbr1/p4ppp/3p3P/1bp5/1np5/5P2/PK1P2P1/RNB2B1R b - - 3 20
B2,C3,r2kqbr1/p4ppp/3p3P/1bp5/2p5/3n1P2/PK1P2P1/RNB2B1R w - - 4 21
F7,F5,r2kqbr1/p4ppp/3p3P/1bp5/2p5/2Kn1P2/P2P2P1/RNB2B1R b - - 5 21
G2,G3,r2kqbr1/p5pp/3p3P/1bp2p2/2p5/2Kn1P2/P2P2P1/RNB2B1R w - f6 0 22
G7,G6,r2kqbr1/p5pp/3p3P/1bp2p2/2p5/2Kn1PP1/P2P4/RNB2B1R b - - 0 22
G3,G4,r2kqbr1/p6p/3p2pP/1bp2p2/2p5/2Kn1PP1/P2P4/RNB2B1R w - - 0 23
F8,G7,r2kqbr1/p6p/3p2pP/1bp2p2/2p3P1/2Kn1P2/P2P4/RNB2B1R b - - 0 23
H6,G7,r2kq1r1/p5bp/3p2pP/1bp2p2/2p3P1/2Kn1P2/P2P4/RNB2B1R w - - 1 24
E8,E3,r2kq1r1/p5Pp/3p2p1/1bp2p2/2p3P1/2Kn1P2/P2P4/RNB2B1R b - - 0 24
G4,G5,r2k2r1/p5Pp/3p2p1/1bp2p2/2p3P1/2KnqP2/P2P4/RNB2B1R w - - 1 25
H7,H6,r2k2r1/p5Pp/3p2p1/1bp2pP1/2p5/2KnqP2/P2P4/RNB2B1R b - - 0 25
D2,E3,r2k2r1/p5P1/3p2pp/1bp2pP1/2p5/2KnqP2/P2P4/RNB2B1R w - - 0 26
D6,D5,r2k2r1/p5P1/3p2pp/1bp2pP1/2p5/2KnPP2/P7/RNB2B1R b - - 0 26
F3,F4,r2k2r1/p5P1/6pp/1bpp1pP1/2p5/2KnPP2/P7/RNB2B1R w - - 0 27
D5,D4,r2k2r1/p5P1/6pp/1bpp1pP1/2p2P2/2KnP3/P7/RNB2B1R b - - 0 27
E3,D4,r2k2r1/p5P1/6pp/1bp2pP1/2pp1P2/2KnP3/P7/RNB2B1R w - - 0 28
G8,E8,r2k2r1/p5P1/6pp/1bp2pP1/2pP1P2/2Kn4/P7/RNB2B1R b - - 0 28
B1,D2,r2kr3/p5P1/6pp/1bp2pP1/2pP1P2/2Kn4/P7/RNB2B1R w - - 1 29
D8,D7,r2kr3/p5P1/6pp/1bp2pP1/2pP1P2/2Kn4/P2N4/R1B2B1R b - - 2 29
H1,H4,r3r3/p2k2P1/6pp/1bp2pP1/2pP1P2/2Kn4/P2N4/R1B2B1R w - - 3 30
C5,D4,r3r3/p2k2P1/6pp/1bp2pP1/2pP1P1R/2Kn4/P2N4/R1B2B2 b - - 4 30
C3,C2,r3r3/p2k2P1/6pp/1b3pP1/2pp1P1R/2Kn4/P2N4/R1B2B2 w - - 0 31
H6,H5,r3r3/p2k2P1/6pp/1b3pP1/2pp1P1R/3n4/P1KN4/R1B2B2 b - - 1 31
H4,G4,r3r3/p2k2P1/6p1/1b3pPp/2pp1P1R/3n4/P1KN4/R1B2B2 w - - 0 32
D3,F2,r3r3/p2k2P1/6p1/1b3pPp/2pp1PR1/3n4/P1KN4/R1B2B2 b - - 1 32
G4,G3,r3r3/p2k2P1/6p1/1b3pPp/2pp1PR1/8/P1KN1n2/R1B2B2 w - - 2 33
E8,E6,r3r3/p2k2P1/6p1/1b3pPp/2pp1P2/6R1/P1KN1n2/R1B2B2 b - - 3 33
G3,G4,r7/p2k2P1/4r1p1/1b3pPp/2pp1P2/6R1/P1KN1n2/R1B2B2 w - - 4 34
C4,C3,r7/p2k2P1/4r1p1/1b3pPp/2pp1PR1/8/P1KN1n2/R1B2B2 b - - 5 34
F1,D3,r7/p2k2P1/4r1p1/1b3pPp/3p1PR1/2p5/P1KN1n2/R1B2B2 w - - 0 35
B5,A4,r7/p2k2P1/4r1p1/1b3pPp/3p1PR1/2pB4/P1KN1n2/R1B5 b - - 1 35
C2,B1,r7/p2k2P1/4r1p1/5pPp/b2p1PR1/2pB4/P1KN1n2/R1B5 w - - 2 36
E6,E5,r7/p2k2P1/4r1p1/5pPp/b2p1PR1/2pB4/P2N1n2/RKB5 b - - 3 36
C1,A3,r7/p2k2P1/6p1/4rpPp/b2p1PR1/2pB4/P2N1n2/RKB5 w - - 4 37
C3,D2,r7/p2k2P1/6p1/4rpPp/b2p1PR1/B1pB4/P2N1n2/RK6 b - - 5 37
F4,E5,r7/p2k2P1/6p1/4rpPp/b2p1PR1/B2B4/P2p1n2/RK6 w - - 0 38
H5,G4,r7/p2k2P1/6p1/4PpPp/b2p2R1/B2B4/P2p1n2/RK6 b - - 0 38
D3,A6,r7/p2k2P1/6p1/4PpP1/b2p2p1/B2B4/P2p1n2/RK6 w - - 0 39
D4,D3,r7/p2k2P1/B5p1/4PpP1/b2p2p1/B7/P2p1n2/RK6 b - - 1 39
B1,B2,r7/p2k2P1/B5p1/4PpP1/b5p1/B2p4/P2p1n2/RK6 w - - 0 40
A4,D1,r7/p2k2P1/B5p1/4PpP1/b5p1/B2p4/PK1p1n2/R7 b - - 1 40
A3,B4,r7/p2k2P1/B5p1/4PpP1/6p1/B2p4/PK1p1n2/R2b4 w - - 2 41
A8,B8,r7/p2k2P1/B5p1/4PpP1/1B4p1/3p4/PK1p1n2/R2b4 b - - 3 41
