source,target,fen
D6,A6,rn2N1nr/pp2p2p/3Q1p1b/k2p1bp1/2Pp2PP/4P3/PP3P1R/1RB1K1N1 w - - 5 20
B8,A6,rn2N1nr/pp2p2p/Q4p1b/k2p1bp1/2Pp2PP/4P3/PP3P1R/1RB1K1N1 b - - 6 20
B1,A1,r3N1nr/pp2p2p/n4p1b/k2p1bp1/2Pp2PP/4P3/PP3P1R/1RB1K1N1 w - - 0 21
A8,E8,r3N1nr/pp2p2p/n4p1b/k2p1bp1/2Pp2PP/4P3/PP3P1R/R1B1K1N1 b - - 1 21
B2,B4,4r1nr/pp2p2p/n4p1b/k2p1bp1/2Pp2PP/4P3/PP3P1R/R1B1K1N1 w - - 0 22
A6,B4,4r1nr/pp2p2p/n4p1b/k2p1bp1/1PPp2PP/4P3/P4P1R/R1B1K1N1 b - b3 0 22
E3,D4,4r1nr/pp2p2p/5p1b/k2p1bp1/1nPp2PP/4P3/P4P1R/R1B1K1N1 w - - 0 23
B4,C2,4r1nr/pp2p2p/5p1b/k2p1bp1/1nPP2PP/8/P4P1R/R1B1K1N1 b - - 0 23
E1,D2,4r1nr/pp2p2p/5p1b/k2p1bp1/2PP2PP/8/P1n2P1R/R1B1K1N1 w - - 1 24
G5,H4,4r1nr/pp2p2p/5p1b/k2p1bp1/2PP2PP/8/P1nK1P1R/R1B3N1 b - - 2 24
G4,G5,4r1nr/pp2p2p/5p1b/k2p1b2/2PP2Pp/8/P1nK1P1R/R1B3N1 w - - 0 25
D5,C4,4r1nr/pp2p2p/5p1b/k2p1bP1/2PP3p/8/P1nK1P1R/R1B3N1 b - - 0 25
C1,B2,4r1nr/pp2p2p/5p1b/k4bP1/2pP3p/8/P1nK1P1R/R1B3N1 w - - 0 26
F6,G5,4r1nr/pp2p2p/5p1b/k4bP1/2pP3p/8/PBnK1P1R/R5N1 b - - 1 26
H2,H3,4r1nr/pp2p2p/7b/k4bp1/2pP3p/8/PBnK1P1R/R5N1 w - - 0 27
G5,G4,4r1nr/pp2p2p/7b/k4bp1/2pP3p/7R/PBnK1P2/R5N1 b - - 1 27
D2,D1,4r1nr/pp2p2p/7b/k4b2/2pP2pp/7R/PBnK1P2/R5N1 w - - 0 28
H6,F4,4r1nr/pp2p2p/7b/k4b2/2pP2pp/7R/PBn2P2/R2K2N1 b - - 1 28
D4,D5,4r1nr/pp2p2p/8/k4b2/2pP1bpp/7R/PBn2P2/R2K2N1 w - - 2 29
A5,A4,4r1nr/pp2p2p/8/k2P1b2/2p2bpp/7R/PBn2P2/R2K2N1 b - - 0 29
A1,C1,4r1nr/pp2p2p/8/3P1b2/k1p2bpp/7R/PBn2P2/R2K2N1 w - - 1 30
C2,B4,4r1nr/pp2p2p/8/3P1b2/k1p2bpp/7R/PBn2P2/2RK2N1 b - - 2 30
C1,C3,4r1nr/pp2p2p/8/3P1b2/knp2bpp/7R/PB3P2/2RK2N1 w - - 3 31
E8,A8,4r1nr/pp2p2p/8/3P1b2/knp2bpp/2R4R/PB3P2/3K2N1 b - - 4 31
H3,D3,r5nr/pp2p2p/8/3P1b2/knp2bpp/2R4R/PB3P2/3K2N1 w - - 5 32
F5,D3,r5nr/pp2p2p/8/3P1b2/knp2bpp/2RR4/PB3P2/3K2N1 b - - 6 32
G1,H3,r5nr/pp2p2p/8/3P4/knp2bpp/2Rb4/PB3P2/3K2N1 w - - 0 33
D3,F1,r5nr/pp2p2p/8/3P4/knp2bpp/2Rb3N/PB3P2/3K4 b - - 1 33
D5,D6,r5nr/pp2p2p/8/3P4/knp2bpp/2R4N/PB3P2/3K1b2 w - - 2 34
F4,E5,r5nr/pp2p2p/3P4/8/knp2bpp/2R4N/PB3P2/3K1b2 b - - 0 34
A2,A3,r5nr/pp2p2p/3P4/4b3/knp3pp/2R4N/PB3P2/3K1b2 w - - 1 35
F1,G2,r5nr/pp2p2p/3P4/4b3/knp3pp/P1R4N/1B3P2/3K1b2 b - - 0 35
D6,E7,r5nr/pp2p2p/3P4/4b3/knp3pp/P1R4N/1B3Pb1/3K4 w - - 1 36
G2,C6,r5nr/pp2P2p/8/4b3/knp3pp/P1R4N/1B3Pb1/3K4 b - - 0 36
D1,C1,r5nr/pp2P2p/2b5/4b3/knp3pp/P1R4N/1B3P2/3K4 w - - 1 37
E5,D4,r5nr/pp2P2p/2b5/4b3/knp3pp/P1R4N/1B3P2/2K5 b - - 2 37
F2,F3,r5nr/pp2P2p/2b5/8/knpb2pp/P1R4N/1B3P2/2K5 w - - 3 38
B4,A2,r5nr/pp2P2p/2b5/8/knpb2pp/P1R2P1N/1B6/2K5 b - - 0 38
C1,D1,r5nr/pp2P2p/2b5/8/k1pb2pp/P1R2P1N/nB6/2K5 w - - 1 39
C6,F3,r5nr/pp2P2p/2b5/8/k1pb2pp/P1R2P1N/nB6/3K4 b - - 2 39
D1,D2,r5nr/pp2P2p/8/8/k1pb2pp/P1R2b1N/nB6/3K4 w - - 0 40
B7,B5,r5nr/pp2P2p/8/8/k1pb2pp/P1R2b1N/nB1K4/8 b - - 1 40
H3,F2,r5nr/p3P2p/8/1p6/k1pb2pp/P1R2b1N/nB1K4/8 w - b6 0 41
D4,C5,r5nr/p3P2p/8/1p6/k1pb2pp/P1R2b2/nB1K1N2/8 b - - 1 41
D2,C2,r5nr/p3P2p/8/1pb5/k1p3pp/P1R2b2/nB1K1N2/8 w - - 2 42
G4,G3,r5nr/p3P2p/8/1pb5/k1p3pp/P1R2b2/nBK2N2/8 b - - 3 42
F2,H1,r5nr/p3P2p/8/1pb5/k1p4p/P1R2bp1/nBK2N2/8 w - - 0 43
G8,F6,r5nr/p3P2p/8/1pb5/k1p4p/P1R2bp1/nBK5/7N b - - 1 43
C3,C4,r6r/p3P2p/5n2/1pb5/k1p4p/P1R2bp1/nBK5/7N w - - 2 44
B5,B4,r6r/p3P2p/5n2/1pb5/k1R4p/P4bp1/nBK5/7N b - - 0 44
