source,target,fen
B1,A3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
C7,C5,rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1
G2,G4,rnbqkbnr/pp1ppppp/8/2p5/8/N7/PPPPPPPP/R1BQKBNR w KQkq c6 0 2
G7,G5,rnbqkbnr/pp1ppppp/8/2p5/6P1/N7/PPPPPP1P/R1BQKBNR b KQkq g3 0 2
F1,H3,rnbqkbnr/pp1ppp1p/8/2p3p1/6P1/N7/PPPPPP1P/R1BQKBNR w KQkq g6 0 3
D8,B6,rnbqkbnr/pp1ppp1p/8/2p3p1/6P1/N6B/PPPPPP1P/R1BQK1NR b KQkq - 1 3
D2,D4,rnb1kbnr/pp1ppp1p/1q6/2p3p1/6P1/N6B/PPPPPP1P/R1BQK1NR w KQkq - 2 4
B6,A5,rnb1kbnr/pp1ppp1p/1q6/2p3p1/3P2P1/N6B/PPP1PP1P/R1BQK1NR b KQkq d3 0 4
C2,C3,rnb1kbnr/pp1ppp1p/8/q1p3p1/3P2P1/N6B/PPP1PP1P/R1BQK1NR w KQkq - 1 5
D7,D5,rnb1kbnr/pp1ppp1p/8/q1p3p1/3P2P1/N1P4B/PP2PP1P/R1BQK1NR b KQkq - 0 5
H3,F1,rnb1kbnr/pp2pp1p/8/q1pp2p1/3P2P1/N1P4B/PP2PP1P/R1BQK1NR w KQkq d6 0 6
A5,C7,rnb1kbnr/pp2pp1p/8/q1pp2p1/3P2P1/N1P5/PP2PP1P/R1BQKBNR b KQkq - 1 6
A3,B5,rnb1kbnr/ppq1pp1p/8/2pp2p1/3P2P1/N1P5/PP2PP1P/R1BQKBNR w KQkq - 2 7
C8,F5,rnb1kbnr/ppq1pp1p/8/1Npp2p1/3P2P1/2P5/PP2PP1P/R1BQKBNR b KQkq - 3 7
H2,H4,rn2kbnr/ppq1pp1p/8/1Npp1bp1/3P2P1/2P5/PP2PP1P/R1BQKBNR w KQkq - 4 8
C7,H2,rn2kbnr/ppq1pp1p/8/1Npp1bp1/3P2PP/2P5/PP2PP2/R1BQKBNR b KQkq h3 0 8
B5,D6,rn2kbnr/pp2pp1p/8/1Npp1bp1/3P2PP/2P5/PP2PP1q/R1BQKBNR w KQkq - 1 9
E8,D7,rn2kbnr/pp2pp1p/3N4/2pp1bp1/3P2PP/2P5/PP2PP1q/R1BQKBNR b KQkq - 2 9
H1,H2,rn3bnr/pp1kpp1p/3N4/2pp1bp1/3P2PP/2P5/PP2PP1q/R1BQKBNR w KQ - 3 10
F7,F6,rn3bnr/pp1kpp1p/3N4/2pp1bp1/3P2PP/2P5/PP2PP1R/R1BQKBN1 b Q - 0 10
E2,E3,rn3bnr/pp1kp2p/3N1p2/2pp1bp1/3P2PP/2P5/PP2PP1R/R1BQKBN1 w Q - 0 11
D7,C6,rn3bnr/pp1kp2p/3N1p2/2pp1bp1/3P2PP/2P1P3/PP3P1R/R1BQKBN1 b Q - 0 11
F1,C4,rn3bnr/pp2p2p/2kN1p2/2pp1bp1/3P2PP/2P1P3/PP3P1R/R1BQKBN1 w Q - 1 12
C5,D4,rn3bnr/pp2p2p/2kN1p2/2pp1bp1/2BP2PP/2P1P3/PP3P1R/R1BQK1N1 b Q - 2 12
D1,F3,rn3bnr/pp2p2p/2kN1p2/3p1bp1/2Bp2PP/2P1P3/PP3P1R/R1BQK1N1 w Q - 0 13
C6,C7,rn3bnr/pp2p2p/2kN1p2/3p1bp1/2Bp2PP/2P1PQ2/PP3P1R/R1B1K1N1 b Q - 1 13
D6,E8,rn3bnr/ppk1p2p/3N1p2/3p1bp1/2Bp2PP/2P1PQ2/PP3P1R/R1B1K1N1 w Q - 2 14
C7,C6,rn2Nbnr/ppk1p2p/5p2/3p1bp1/2Bp2PP/2P1PQ2/PP3P1R/R1B1K1N1 b Q - 3 14
C4,B5,rn2Nbnr/pp2p2p/2k2p2/3p1bp1/2Bp2PP/2P1PQ2/PP3P1R/R1B1K1N1 w Q - 4 15
C6,B5,rn2Nbnr/pp2p2p/2k2p2/1B1p1bp1/3p2PP/2P1PQ2/PP3P1R/R1B1K1N1 b Q - 5 15
A1,B1,rn2Nbnr/pp2p2p/5p2/1k1p1bp1/3p2PP/2P1PQ2/PP3P1R/R1B1K1N1 w Q - 0 16
F8,G7,rn2Nbnr/pp2p2p/5p2/1k1p1bp1/3p2PP/2P1PQ2/PP3P1R/1RB1K1N1 b - - 1 16
C3,C4,rn2N1nr/pp2p1bp/5p2/1k1p1bp1/3p2PP/2P1PQ2/PP3P1R/1RB1K1N1 w - - 2 17
B5,B6,rn2N1nr/pp2p1bp/5p2/1k1p1bp1/2Pp2PP/4PQ2/PP3P1R/1RB1K1N1 b - - 0 17
F3,F4,rn2N1nr/pp2p1bp/1k3p2/3p1bp1/2Pp2PP/4PQ2/PP3P1R/1RB1K1N1 w - - 1 18
G7,H6,rn2N1nr/pp2p1bp/1k3p2/3p1bp1/2Pp1QPP/4P3/PP3P1R/1RB1K1N1 b - - 2 18
F4,D6,rn2N1nr/pp2p2p/1k3p1b/3p1bp1/2Pp1QPP/4P3/PP3P1R/1RB1K1N1 w - - 3 19
B6,A5,rn2N1nr/pp2p2p/1k1Q1p1b/3p1bp1/2Pp2PP/4P3/PP3P1R/1RB1K1N1 b - - 4 19
