source,target,fen
G7,F8,1r1q4/p1nk2b1/8/1R5B/3p3p/1p4BN/1P2p1Kn/6R1 b - - 1 38
B5,G5,1r1q1b2/p1nk4/8/1R5B/3p3p/1p4BN/1P2p1Kn/6R1 w - - 2 39
F8,H6,1r1q1b2/p1nk4/8/6RB/3p3p/1p4BN/1P2p1Kn/6R1 b - - 3 39
H3,F4,1r1q4/p1nk4/7b/6RB/3p3p/1p4BN/1P2p1Kn/6R1 w - - 4 40
H4,G3,1r1q4/p1nk4/7b/6RB/3p1N1p/1p4B1/1P2p1Kn/6R1 b - - 5 40
H5,E8,1r1q4/p1nk4/7b/6RB/3p1N2/1p4p1/1P2p1Kn/6R1 w - - 0 41
D7,E7,1r1qB3/p1nk4/7b/6R1/3p1N2/1p4p1/1P2p1Kn/6R1 b - - 1 41
E8,C6,1r1qB3/p1n1k3/7b/6R1/3p1N2/1p4p1/1P2p1Kn/6R1 w - - 2 42
A7,A6,1r1q4/p1n1k3/2B4b/6R1/3p1N2/1p4p1/1P2p1Kn/6R1 b - - 3 42
G5,A5,1r1q4/2n1k3/p1B4b/6R1/3p1N2/1p4p1/1P2p1Kn/6R1 w - - 0 43
H2,F3,1r1q4/2n1k3/p1B4b/R7/3p1N2/1p4p1/1P2p1Kn/6R1 b - - 1 43
F4,D5,1r1q4/2n1k3/p1B4b/R7/3p1N2/1p3np1/1P2p1K1/6R1 w - - 2 44
C7,D5,1r1q4/2n1k3/p1B4b/R2N4/3p4/1p3np1/1P2p1K1/6R1 b - - 3 44
G2,H3,1r1q4/4k3/p1B4b/R2n4/3p4/1p3np1/1P2p1K1/6R1 w - - 0 45
D8,D7,1r1q4/4k3/p1B4b/R2n4/3p4/1p3npK/1P2p3/6R1 b - - 1 45
H3,G2,1r6/3qk3/p1B4b/R2n4/3p4/1p3npK/1P2p3/6R1 w - - 2 46
B8,A8,1r6/3qk3/p1B4b/R2n4/3p4/1p3np1/1P2p1K1/6R1 b - - 3 46
A5,B5,r7/3qk3/p1B4b/R2n4/3p4/1p3np1/1P2p1K1/6R1 w - - 4 47
F3,H4,r7/3qk3/p1B4b/1R1n4/3p4/1p3np1/1P2p1K1/6R1 b - - 5 47
G2,H1,r7/3qk3/p1B4b/1R1n4/3p3n/1p4p1/1P2p1K1/6R1 w - - 6 48
H6,E3,r7/3qk3/p1B4b/1R1n4/3p3n/1p4p1/1P2p3/6RK b - - 7 48
C6,A8,r7/3qk3/p1B5/1R1n4/3p3n/1p2b1p1/1P2p3/6RK w - - 8 49
H4,G6,B7/3qk3/p7/1R1n4/3p3n/1p2b1p1/1P2p3/6RK b - - 0 49
A8,D5,B7/3qk3/p5n1/1R1n4/3p4/1p2b1p1/1P2p3/6RK w - - 1 50
D4,D3,8/3qk3/p5n1/1R1B4/3p4/1p2b1p1/1P2p3/6RK b - - 0 50
G1,D1,8/3qk3/p5n1/1R1B4/8/1p1pb1p1/1P2p3/6RK w - - 0 51
G3,G2,8/3qk3/p5n1/1R1B4/8/1p1pb1p1/1P2p3/3R3K b - - 1 51
H1,H2,8/3qk3/p5n1/1R1B4/8/1p1pb3/1P2p1p1/3R3K w - - 0 52
D7,D6,8/3qk3/p5n1/1R1B4/8/1p1pb3/1P2p1pK/3R4 b - - 1 52
H2,H3,8/4k3/p2q2n1/1R1B4/8/1p1pb3/1P2p1pK/3R4 w - - 2 53
D6,E5,8/4k3/p2q2n1/1R1B4/8/1p1pb2K/1P2p1p1/3R4 b - - 3 53
D5,B3,8/4k3/p5n1/1R1Bq3/8/1p1pb2K/1P2p1p1/3R4 w - - 4 54
