source,target,fen
C2,C4,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
G7,G5,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq c3 0 1
D2,D4,rnbqkbnr/pppppp1p/8/6p1/2P5/8/PP1PPPPP/RNBQKBNR w KQkq g6 0 2
B7,B6,rnbqkbnr/pppppp1p/8/6p1/2PP4/8/PP2PPPP/RNBQKBNR b KQkq d3 0 2
G2,G3,rnbqkbnr/p1pppp1p/1p6/6p1/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3
H7,H6,rnbqkbnr/p1pppp1p/1p6/6p1/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 3
B1,D2,rnbqkbnr/p1pppp2/1p5p/6p1/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq - 0 4
H8,H7,rnbqkbnr/p1pppp2/1p5p/6p1/2PP4/6P1/PP1NPP1P/R1BQKBNR b KQkq - 1 4
A2,A4,rnbqkbn1/p1pppp1r/1p5p/6p1/2PP4/6P1/PP1NPP1P/R1BQKBNR w KQq - 2 5
C8,B7,rnbqkbn1/p1pppp1r/1p5p/6p1/P1PP4/6P1/1P1NPP1P/R1BQKBNR b KQq a3 0 5
D2,B3,rn1qkbn1/pbpppp1r/1p5p/6p1/P1PP4/6P1/1P1NPP1P/R1BQKBNR w KQq - 1 6
H6,H5,rn1qkbn1/pbpppp1r/1p5p/6p1/P1PP4/1N4P1/1P2PP1P/R1BQKBNR b KQq - 2 6
C4,C5,rn1qkbn1/pbpppp1r/1p6/6pp/P1PP4/1N4P1/1P2PP1P/R1BQKBNR w KQq - 0 7
E7,E5,rn1qkbn1/pbpppp1r/1p6/2P3pp/P2P4/1N4P1/1P2PP1P/R1BQKBNR b KQq - 0 7
F2,F4,rn1qkbn1/pbpp1p1r/1p6/2P1p1pp/P2P4/1N4P1/1P2PP1P/R1BQKBNR w KQq e6 0 8
G8,F6,rn1qkbn1/pbpp1p1r/1p6/2P1p1pp/P2P1P2/1N4P1/1P2P2P/R1BQKBNR b KQq f3 0 8
F4,G5,rn1qkb2/pbpp1p1r/1p3n2/2P1p1pp/P2P1P2/1N4P1/1P2P2P/R1BQKBNR w KQq - 1 9
B7,F3,rn1qkb2/pbpp1p1r/1p3n2/2P1p1Pp/P2P4/1N4P1/1P2P2P/R1BQKBNR b KQq - 0 9
G3,G4,rn1qkb2/p1pp1p1r/1p3n2/2P1p1Pp/P2P4/1N3bP1/1P2P2P/R1BQKBNR w KQq - 1 10
F6,G4,rn1qkb2/p1pp1p1r/1p3n2/2P1p1Pp/P2P2P1/1N3b2/1P2P2P/R1BQKBNR b KQq - 0 10
A4,A5,rn1qkb2/p1pp1p1r/1p6/2P1p1Pp/P2P2n1/1N3b2/1P2P2P/R1BQKBNR w KQq - 0 11
E8,E7,rn1qkb2/p1pp1p1r/1p6/P1P1p1Pp/3P2n1/1N3b2/1P2P2P/R1BQKBNR b KQq - 0 11
F1,G2,rn1q1b2/p1ppkp1r/1p6/P1P1p1Pp/3P2n1/1N3b2/1P2P2P/R1BQKBNR w KQ - 1 12
B8,A6,rn1q1b2/p1ppkp1r/1p6/P1P1p1Pp/3P2n1/1N3b2/1P2P1BP/R1BQK1NR b KQ - 2 12
C5,C6,r2q1b2/p1ppkp1r/np6/P1P1p1Pp/3P2n1/1N3b2/1P2P1BP/R1BQK1NR w KQ - 3 13
H5,H4,r2q1b2/p1ppkp1r/npP5/P3p1Pp/3P2n1/1N3b2/1P2P1BP/R1BQK1NR b KQ - 0 13
C6,D7,r2q1b2/p1ppkp1r/npP5/P3p1P1/3P2np/1N3b2/1P2P1BP/R1BQK1NR w KQ - 0 14
F7,F5,r2q1b2/p1pPkp1r/np6/P3p1P1/3P2np/1N3b2/1P2P1BP/R1BQK1NR b KQ - 0 14
C1,F4,r2q1b2/p1pPk2r/np6/P3ppP1/3P2np/1N3b2/1P2P1BP/R1BQK1NR w KQ f6 0 15
C7,C6,r2q1b2/p1pPk2r/np6/P3ppP1/3P1Bnp/1N3b2/1P2P1BP/R2QK1NR b KQ - 1 15
A1,C1,r2q1b2/p2Pk2r/npp5/P3ppP1/3P1Bnp/1N3b2/1P2P1BP/R2QK1NR w KQ - 0 16
A8,B8,r2q1b2/p2Pk2r/npp5/P3ppP1/3P1Bnp/1N3b2/1P2P1BP/2RQK1NR b K - 1 16
E2,E4,1r1q1b2/p2Pk2r/npp5/P3ppP1/3P1Bnp/1N3b2/1P2P1BP/2RQK1NR w K - 2 17
C6,C5,1r1q1b2/p2Pk2r/npp5/P3ppP1/3PPBnp/1N3b2/1P4BP/2RQK1NR b K e3 0 17
C1,A1,1r1q1b2/p2Pk2r/np6/P1p1ppP1/3PPBnp/1N3b2/1P4BP/2RQK1NR w K - 0 18
F5,E4,1r1q1b2/p2Pk2r/np6/P1p1ppP1/3PPBnp/1N3b2/1P4BP/R2QK1NR b K - 1 18
D1,D2,1r1q1b2/p2Pk2r/np6/P1p1p1P1/3PpBnp/1N3b2/1P4BP/R2QK1NR w K - 0 19
B6,A5,1r1q1b2/p2Pk2r/np6/P1p1p1P1/3PpBnp/1N3b2/1P1Q2BP/R3K1NR b K - 1 19
G2,H3,1r1q1b2/p2Pk2r/n7/p1p1p1P1/3PpBnp/1N3b2/1P1Q2BP/R3K1NR w K - 0 20
A6,C7,1r1q1b2/p2Pk2r/n7/p1p1p1P1/3PpBnp/1N3b1B/1P1Q3P/R3K1NR b K - 1 20
A1,A2,1r1q1b2/p1nPk2r/8/p1p1p1P1/3PpBnp/1N3b1B/1P1Q3P/R3K1NR w K - 2 21
H7,G7,1r1q1b2/p1nPk2r/8/p1p1p1P1/3PpBnp/1N3b1B/RP1Q3P/4K1NR b K - 3 21
E1,F1,1r1q1b2/p1nPk1r1/8/p1p1p1P1/3PpBnp/1N3b1B/RP1Q3P/4K1NR w K - 4 22
C7,A6,1r1q1b2/p1nPk1r1/8/p1p1p1P1/3PpBnp/1N3b1B/RP1Q3P/5KNR b - - 5 22
A2,A5,1r1q1b2/p2Pk1r1/n7/p1p1p1P1/3PpBnp/1N3b1B/RP1Q3P/5KNR w - - 6 23
F3,G2,1r1q1b2/p2Pk1r1/n7/R1p1p1P1/3PpBnp/1N3b1B/1P1Q3P/5KNR b - - 0 23
F1,G2,1r1q1b2/p2Pk1r1/n7/R1p1p1P1/3PpBnp/1N5B/1P1Q2bP/5KNR w - - 1 24
E4,E3,1r1q1b2/p2Pk1r1/n7/R1p1p1P1/3PpBnp/1N5B/1P1Q2KP/6NR b - - 0 24
G2,F1,1r1q1b2/p2Pk1r1/n7/R1p1p1P1/3P1Bnp/1N2p2B/1P1Q2KP/6NR w - - 0 25
G4,H2,1r1q1b2/p2Pk1r1/n7/R1p1p1P1/3P1Bnp/1N2p2B/1P1Q3P/5KNR b - - 1 25
F1,G2,1r1q1b2/p2Pk1r1/n7/R1p1p1P1/3P1B1p/1N2p2B/1P1Q3n/5KNR w - - 0 26
G7,G5,1r1q1b2/p2Pk1r1/n7/R1p1p1P1/3P1B1p/1N2p2B/1P1Q2Kn/6NR b - - 1 26
H3,G4,1r1q1b2/p2Pk3/n7/R1p1p1r1/3P1B1p/1N2p2B/1P1Q2Kn/6NR w - - 0 27
H2,F3,1r1q1b2/p2Pk3/n7/R1p1p1r1/3P1BBp/1N2p3/1P1Q2Kn/6NR b - - 1 27
G1,H3,1r1q1b2/p2Pk3/n7/R1p1p1r1/3P1BBp/1N2pn2/1P1Q2K1/6NR w - - 2 28
E3,E2,1r1q1b2/p2Pk3/n7/R1p1p1r1/3P1BBp/1N2pn1N/1P1Q2K1/7R b - - 3 28
H1,H2,1r1q1b2/p2Pk3/n7/R1p1p1r1/3P1BBp/1N3n1N/1P1Qp1K1/7R w - - 0 29
A6,C7,1r1q1b2/p2Pk3/n7/R1p1p1r1/3P1BBp/1N3n1N/1P1Qp1KR/8 b - - 1 29
F4,G3,1r1q1b2/p1nPk3/8/R1p1p1r1/3P1BBp/1N3n1N/1P1Qp1KR/8 w - - 2 30
C5,C4,1r1q1b2/p1nPk3/8/R1p1p1r1/3P2Bp/1N3nBN/1P1Qp1KR/8 b - - 3 30
H2,H1,1r1q1b2/p1nPk3/8/R3p1r1/2pP2Bp/1N3nBN/1P1Qp1KR/8 w - - 0 31
E5,D4,1r1q1b2/p1nPk3/8/R3p1r1/2pP2Bp/1N3nBN/1P1Qp1K1/7R b - - 1 31
H1,E1,1r1q1b2/p1nPk3/8/R5r1/2pp2Bp/1N3nBN/1P1Qp1K1/7R w - - 0 32
E7,F7,1r1q1b2/p1nPk3/8/R5r1/2pp2Bp/1N3nBN/1P1Qp1K1/4R3 b - - 1 32
D2,G5,1r1q1b2/p1nP1k2/8/R5r1/2pp2Bp/1N3nBN/1P1Qp1K1/4R3 w - - 2 33
C4,B3,1r1q1b2/p1nP1k2/8/R5Q1/2pp2Bp/1N3nBN/1P2p1K1/4R3 b - - 0 33
E1,D1,1r1q1b2/p1nP1k2/8/R5Q1/3p2Bp/1p3nBN/1P2p1K1/4R3 w - - 0 34
F3,H2,1r1q1b2/p1nP1k2/8/R5Q1/3p2Bp/1p3nBN/1P2p1K1/3R4 b - - 1 34
G5,G7,1r1q1b2/p1nP1k2/8/R5Q1/3p2Bp/1p4BN/1P2p1Kn/3R4 w - - 2 35
F8,G7,1r1q1b2/p1nP1kQ1/8/R7/3p2Bp/1p4BN/1P2p1Kn/3R4 b - - 3 35
G4,H5,1r1q4/p1nP1kb1/8/R7/3p2Bp/1p4BN/1P2p1Kn/3R4 w - - 0 36
F7,E6,1r1q4/p1nP1kb1/8/R6B/3p3p/1p4BN/1P2p1Kn/3R4 b - - 1 36
D1,G1,1r1q4/p1nP2b1/4k3/R6B/3p3p/1p4BN/1P2p1Kn/3R4 w - - 2 37
E6,D7,1r1q4/p1nP2b1/4k3/R6B/3p3p/1p4BN/1P2p1Kn/6R1 b - - 3 37
A5,B5,1r1q4/p1nk2b1/8/R6B/3p3p/1p4BN/1P2p1Kn/6R1 w - - 0 38
